time,adj close,vol90_BTC,vol30_BTC,vol7_BTC,price_ETH,vol90_ETH,vol30_ETH,vol7_ETH,
2016/3/10,416.5,0,19.43198099,7.378733922,0 ,0,0,0,
2016/3/11,420.5,0,17.84814263,6.473903658,0 ,0,0,0,
2016/3/12,410,0,16.57367425,7.768710134,0 ,0,0,0,
2016/3/13,411.8,0,14.89351514,5.189687577,0 ,0,0,0,
2016/3/14,416,0,13.37812806,3.612676096,0 ,0,0,0,
2016/3/15,415.5,0,12.43593468,3.677343762,0 ,0,0,0,
2016/3/16,417.3,0,12.26634542,3.486572884,0 ,0,0,0,
2016/3/17,418.8,0,11.65706781,3.495575435,0 ,0,0,0,
2016/3/18,407.7,0,11.37545452,3.720215048,0 ,0,0,0,
2016/3/19,408.4,0,11.59165574,4.094595741,0 ,0,0,0,
2016/3/20,411.3,0,11.82360828,4.381345738,0 ,0,0,0,
2016/3/21,411.9,0,11.94850253,4.420299494,0 ,0,0,0,
2016/3/22,417.7,0,11.531833,4.315255331,0 ,0,0,0,
2016/3/23,418.1,0,10.83442788,4.599637667,0 ,0,0,0,
2016/3/24,415.3,0,10.0446795,4.723850326,0 ,0,0,0,
2016/3/25,416,0,10.03996611,4.216803122,0 ,0,0,0,
2016/3/26,416.7,0,9.91391916,3.632721661,0 ,0,0,0,
2016/3/27,427.4,0,9.815987428,2.695940511,0 ,0,0,0,
2016/3/28,424.1,0,9.412650451,4.786240199,0 ,0,0,0,
2016/3/29,415.8,0,8.944608599,4.587924108,0 ,0,0,0,
2016/3/30,413.2,0,8.284788026,4.753545043,0 ,0,0,0,
2016/3/31,416,23.36553714,7.043641463,5.252573066,0 ,0,0,0,
2016/4/1,417.6,23.23339349,5.993798519,5.190972017,0 ,0,0,0,
2016/4/2,420.3,23.11950703,5.847881039,5.099159595,0 ,0,0,0,
2016/4/3,420.6,23.05803577,5.83711864,5.046781152,0 ,0,0,0,
2016/4/4,420.5,22.95349228,5.846637702,3.672743881,0 ,0,0,0,
2016/4/5,423.8,22.85963127,4.930912345,2.88006283,0 ,0,0,0,
2016/4/6,422.6,22.82498532,4.642527057,3.511816787,0 ,0,0,0,
2016/4/7,422.3,22.24612567,4.73655508,2.688865932,0 ,0,0,0,
2016/4/8,418.5,21.76665448,4.748047391,2.019900988,0 ,0,0,0,
2016/4/9,418.5,21.35596985,4.69570114,1.773616161,0 ,0,0,0,
2016/4/10,421.3,20.92714039,4.701474457,2.041008154,0 ,0,0,0,
2016/4/11,423.7,20.50510576,4.723407109,2.036921113,0 ,0,0,0,
2016/4/12,426.6,20.41146724,4.668580478,2.236600311,0 ,0,0,0,
2016/4/13,424.8,20.35785925,4.811773158,2.870954711,0 ,0,0,0,
2016/4/14,426,20.30846714,4.944683665,3.070210168,0 ,0,0,0,
2016/4/15,431.5,19.7405089,5.100750452,3.384136663,0 ,0,0,0,
2016/4/16,432,19.7846848,5.595462037,4.13348694,0 ,0,0,0,
2016/4/17,428.5,19.73889615,6.059926785,3.942443042,0 ,0,0,0,
2016/4/18,430,19.70528349,5.828250659,3.214253968,0 ,0,0,0,
2016/4/19,437.8,19.55390501,5.629768987,2.80025509,0 ,0,0,0,
2016/4/20,444,19.74883754,6.100545482,4.326826617,0 ,0,0,0,
2016/4/21,452,20.06812443,7.019313258,6.128271721,0 ,0,0,0,
2016/4/22,447.8,20.2881614,8.709490794,8.657146786,0 ,0,0,0,
2016/4/23,453.7,20.46054685,9.63316589,9.246749751,0 ,0,0,0,
2016/4/24,463,20.90154858,10.76116047,10.15229273,0 ,0,0,0,
2016/4/25,461.8,21.43711242,12.4720764,10.87121582,0 ,0,0,0,
2016/4/26,468.1,21.90400222,13.7165564,9.138172163,0 ,0,0,0,
2016/4/27,445.1,22.53153543,15.40779919,8.767499508,0 ,0,0,0,
2016/4/28,450.5,22.41141752,15.56537714,8.527937282,0 ,0,0,0,
2016/4/29,455.3,22.33536938,15.64142341,8.660913842,0 ,0,0,0,
2016/4/30,446.6,22.30315631,15.71657592,7.953705336,0 ,0,0,0,
2016/5/1,451.1,21.81560337,15.49003239,8.818487075,0 ,0,0,0,
2016/5/2,443.7,21.50569532,15.3876503,8.326006303,0 ,0,0,0,
2016/5/3,450.4,21.08423081,15.14096256,8.336351834,0 ,0,0,0,
2016/5/4,447.4,20.61362155,15.00095974,4.028174584,0 ,0,0,0,
2016/5/5,448.4,20.53182895,14.71702587,3.744964874,0 ,0,0,0,
2016/5/6,461.2,20.38176221,14.52810198,3.715476,0 ,0,0,0,
2016/5/7,460.2,20.12998487,14.66397729,5.585312371,0 ,0,0,0,
2016/5/8,459.9,19.75384983,14.62515743,6.556094947,0 ,0,0,0,
2016/5/9,461.6,19.26703086,14.2487382,7.216350482,0 ,0,0,0,
2016/5/10,450.7,18.86232534,13.78593319,6.49523635,0 ,0,0,0,
2016/5/11,452.3,18.41149186,13.05908941,6.456189352,0 ,0,0,0,
2016/5/12,455,17.85142678,12.39341687,5.627822043,0 ,0,0,0,
2016/5/13,455.8,17.43291991,11.84886822,4.522430868,0 ,0,0,0,
2016/5/14,455.8,17.25081539,11.08153896,4.188874153,0 ,0,0,0,
2016/5/15,457.9,17.32988733,10.24875434,3.858200913,0 ,0,0,0,
2016/5/16,453,17.28566627,9.721799181,3.573713555,0 ,0,0,0,
2016/5/17,453.2,17.27079051,9.044998618,2.469046471,0 ,0,0,0,
2016/5/18,453.5,17.34371272,7.922411829,1.985303143,0 ,0,0,0,
2016/5/19,435,17.46749508,6.693225259,1.783655957,0 ,0,0,0,
2016/5/20,441.6,17.42625701,6.931056213,7.717666808,0 ,0,0,0,
2016/5/21,440.8,17.4417355,7.052890497,8.397420239,0 ,0,0,0,
2016/5/22,437.5,17.44342913,7.398527346,8.582512675,0 ,0,0,0,
2016/5/23,443.7,17.43074934,7.857545608,8.05105731,0 ,0,0,0,
2016/5/24,445,17.4368345,8.008378515,7.224824928,0 ,0,0,0,
2016/5/25,449.1,17.47860047,7.828351803,5.96681298,0 ,0,0,0,
2016/5/26,454,17.54925812,7.586394355,4.706530418,0 ,0,0,0,
2016/5/27,472,17.69190537,6.894393024,5.528626799,0 ,0,0,0,
2016/5/28,527,18.16800153,7.849618191,11.5287632,0 ,0,0,0,
2016/5/29,531,20.68392794,15.87161168,31.02393853,0 ,0,0,0,
2016/5/30,532.9,23.0585181,21.21173065,38.38193399,0 ,0,0,0,
2016/5/31,530.7,25.25099284,25.28617836,41.14334408,0 ,0,0,0,
2016/6/1,536.8,27.09091295,28.37727782,39.16664032,0 ,0,0,0,
2016/6/2,538.8,28.97710511,31.25103842,34.03801097,0 ,0,0,0,
2016/6/3,570.9,30.65414923,33.87347248,23.34085933,0 ,0,0,0,
2016/6/4,572.7,33.27045988,38.46887397,14.90615086,0 ,0,0,0,
2016/6/5,574,35.75147612,42.32076526,18.6658078,0 ,0,0,0,
2016/6/6,585.2,38.12428982,45.79903929,20.35548364,0 ,0,0,0,
2016/6/7,576.9,40.67433072,49.4672217,22.1372128,0 ,0,0,0,
2016/6/8,583,42.71491515,52.02743131,19.17644885,0 ,0,0,0,
2016/6/9,575.5,44.81737836,54.55143687,15.41804756,0 ,0,0,0,
2016/6/10,580.1,46.55752379,56.01694776,5.324605955,0 ,0,0,0,
2016/6/11,614.5,48.20704059,57.39381039,4.699645377,0 ,0,0,0,
2016/6/12,671,50.82524189,60.33499099,13.96635413,0 ,0,0,0,
2016/6/13,705.9,55.39617924,66.633431,34.78973576,0 ,0,0,0,
2016/6/14,684.5,60.9437652,74.40853955,52.68208786,0 ,0,0,0,
2016/6/15,696.9,65.0426197,79.09007058,55.25498038,0 ,0,0,0,
2016/6/16,769.5,69.22795114,83.42593115,55.65597987,0 ,0,0,0,
2016/6/17,748.7,75.79390629,92.00030485,62.09698635,0 ,0,0,0,
2016/6/18,757.6,80.8310317,97.21996011,51.03314049,0 ,0,0,0,
2016/6/19,767.3,85.74809133,100.9712031,38.89386657,0 ,0,0,0,
2016/6/20,743.9,90.57226235,104.3367363,35.94024803,0 ,0,0,0,
2016/6/21,668.9,94.29625484,105.1531245,33.99714974,0 ,0,0,0,
2016/6/22,606,95.87915603,102.0823344,38.347813,0 ,0,0,0,
2016/6/23,625.8,96.28301331,97.89631983,61.96086707,0 ,0,0,0,
2016/6/24,666,96.92075257,93.33489258,67.58633984,0 ,0,0,0,
2016/6/25,664.9,98.1851364,88.86579576,65.37684168,0 ,0,0,0,
2016/6/26,627.4,99.43096843,83.84099545,58.62749233,0 ,0,0,0,
2016/6/27,662.2,99.96437174,78.86663711,45.24941462,0 ,0,0,0,
2016/6/28,646.3,100.902501,76.74165386,25.48845677,0 ,0,0,0,
2016/6/29,639.7,101.474997,74.34228666,23.43614425,0 ,0,0,0,
2016/6/30,674.7,101.9119942,71.73855502,17.31220324,0 ,0,0,0,
2016/7/1,674.8,102.8518392,68.95606497,16.97261099,0 ,0,0,0,
2016/7/2,705,103.7340479,66.06467782,18.24805273,0 ,0,0,0,
2016/7/3,659.3,105.084468,63.40973275,26.18185486,0 ,0,0,0,
2016/7/4,681.3,105.5511155,61.40547506,21.65348317,0 ,0,0,0,
2016/7/5,667.8,106.321552,59.39564557,22.28891461,0 ,0,0,0,
2016/7/6,677,106.7886781,57.06888598,20.05226504,0 ,0,0,0,
2016/7/7,640.5,107.3163658,55.1057462,14.20348716,0 ,0,0,0,
2016/7/8,664.8,107.2452437,52.67319107,19.91271429,0 ,0,0,0,
2016/7/9,648.1,107.4125704,50.09330329,20.05687152,0 ,0,0,0,
2016/7/10,649.7,107.3392629,46.91016653,14.71070229,0 ,0,0,0,
2016/7/11,648,107.2539586,43.6812514,15.50499152,0 ,0,0,0,
2016/7/12,667.2,107.1265483,42.43893856,13.30323985,0 ,0,0,0,
2016/7/13,653.7,107.142649,42.46657387,13.2204027,0 ,0,0,0,
2016/7/14,659.8,106.9483789,42.35282631,9.638266985,0 ,0,0,0,
2016/7/15,665.5,106.8317076,42.42693462,8.048188202,0 ,0,0,0,
2016/7/16,665.3,106.7253859,42.26593476,8.180464534,0 ,0,0,0,
2016/7/17,683.2,106.5060249,38.27242578,7.993092256,0 ,0,0,0,
2016/7/18,674.3,106.4576066,35.4453896,11.24379194,0 ,0,0,0,
2016/7/19,675,106.330659,31.25845247,9.571137167,0 ,0,0,0,
2016/7/20,665.8,106.2273555,24.81734863,10.04082144,0 ,0,0,0,
2016/7/21,665,106.0621182,19.564682,7.974721969,0 ,0,0,0,
2016/7/22,648,105.7811308,19.51824051,7.074703426,0 ,0,0,0,
2016/7/23,654,105.3668996,16.82117884,11.11161983,0 ,0,0,0,
2016/7/24,661.8,105.0707009,15.49059077,12.33703291,0 ,0,0,0,
2016/7/25,654.2,104.7838367,15.47662271,9.914371483,0 ,0,0,0,
2016/7/26,648.5,104.4602691,15.53868143,9.114614116,0 ,0,0,0,
2016/7/27,654.5,103.7423147,14.351693,7.462764712,0 ,0,0,0,
2016/7/29,658.3,103.0936544,14.42927898,6.314495795,0 ,0,0,0,
2016/7/30,655,102.4894822,14.13003486,4.926604162,0 ,0,0,0,
